21125,524.0,=93.86*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-minecraft-domek-na-drzewie-w-dzungli-21125-8-i6300941315.html,http://www.ebay.co.uk/itm/132015458300
21122,620.0,=109.9*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-minecraft-the-nether-fortress-21122-8-i5600216335.html,http://www.ebay.co.uk/itm/152337323936
21121,539.0,=104.48*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-minecraft-the-desert-outpost-21121-klocki-i5724826964.html,http://www.ebay.co.uk/itm/172399798652
42030,849.0,=179.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-42030-technic-koparka-volvo-l350f-i6630339996.html,http://www.ebay.co.uk/itm/152342457095
42039,507.0,=90.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/klocki-lego-superszybka-wyscigowka-42039-wys24-i6633320297.html,http://www.ebay.co.uk/itm/132023588851
60062,510.0,=124.99*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-city-60062-arktyczny-lodolamacz-i6639620486.html,http://www.ebay.co.uk/itm/152346556722
70738,507.0,=98.98*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-ninjago-70738-ostatni-lot-perly-przeznacze-i6614093489.html,http://www.ebay.co.uk/itm/122257498274
10216,563.0,=154.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-10216-zimowa-piekarnia-nowy-super-cena-i6627543401.html,http://www.ebay.co.uk/itm/152342361670
10211,1399.0,=279.99*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-10211-grand-emporium-dom-handlowy-i6632521150.html,http://www.ebay.co.uk/itm/302128015968
10218,689.0,=155.49*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-10218-pet-shop-sklep-zoologiczny-i6632503288.html,http://www.ebay.co.uk/itm/332052692318
